,Reflectance,Wavelength
0,0.13652803292295934,350.0
1,0.13668107965923906,351.0
2,0.1382087416121252,352.0
3,0.1337271097015775,353.0
4,0.13098348116540356,354.0
5,0.12997300271554038,355.0
6,0.12918184761003534,356.0
7,0.12681408422406212,357.0
8,0.1270427121445673,358.0
9,0.12593423471436735,359.0
10,0.12199562324940744,360.0
11,0.11966203265934156,361.0
12,0.11956817094005837,362.0
13,0.1197367034399917,363.0
14,0.11856001293616995,364.0
15,0.11722610841961503,365.0
16,0.11629868056395688,366.0
17,0.11537944314367478,367.0
18,0.11402593529108473,368.0
19,0.11345402650932461,369.0
20,0.1125861857741734,370.0
21,0.11175302165248469,371.0
22,0.11200517045354694,372.0
23,0.11239559886085515,373.0
24,0.11197492224082152,374.0
25,0.11084553741534317,375.0
26,0.1101224290649598,376.0
27,0.10926333065070466,377.0
28,0.10848509411639895,378.0
29,0.10806426107178316,379.0
30,0.10815590932283499,380.0
31,0.10870427650551091,381.0
32,0.10908049597751714,382.0
33,0.10885231382581442,383.0
34,0.10868402211092994,384.0
35,0.10864706692904297,385.0
36,0.10869093757284669,386.0
37,0.10872151051139725,387.0
38,0.10882416314923113,388.0
39,0.10898127379516763,389.0
40,0.10919398892008798,390.0
41,0.10945167534185397,391.0
42,0.10926639526951583,392.0
43,0.10903680005320264,393.0
44,0.10914794230095215,394.0
45,0.109740807040848,395.0
46,0.11022319246109197,396.0
47,0.11041512683337652,397.0
48,0.11036200275303833,398.0
49,0.11028061946380636,399.0
50,0.11092942220883002,400.0
51,0.11156305486664514,401.0
52,0.11116030904481429,402.0
53,0.1109248882835299,403.0
54,0.11081259065563628,404.0
55,0.11097337733802068,405.0
56,0.1116363596165991,406.0
57,0.11141934699746087,407.0
58,0.11126218297219234,408.0
59,0.11168067313092281,409.0
60,0.1120540359571524,410.0
61,0.1120822281434175,411.0
62,0.11205758283936741,412.0
63,0.11228545744971362,413.0
64,0.11265145037584688,414.0
65,0.11275189422566816,415.0
66,0.11266405125386861,416.0
67,0.11266630610026805,417.0
68,0.11275309987364969,418.0
69,0.1127724907784303,419.0
70,0.11289289527018949,420.0
71,0.1135073561750583,421.0
72,0.1137667748736889,422.0
73,0.11379361835421095,423.0
74,0.11384513424113155,424.0
75,0.11410898143412816,425.0
76,0.11437095145449125,426.0
77,0.11459135622411472,427.0
78,0.11478149971924294,428.0
79,0.11493403656639546,429.0
80,0.11505789596924078,430.0
81,0.11520450248555894,431.0
82,0.11544613970742426,432.0
83,0.11584387559223558,433.0
84,0.11619761130718594,434.0
85,0.11646608114440113,435.0
86,0.11683179154937115,436.0
87,0.11704537566149874,437.0
88,0.11721606033961572,438.0
89,0.11749719241111505,439.0
90,0.11797113007580232,440.0
91,0.11829061736350509,441.0
92,0.11853761649058618,442.0
93,0.11893395135528473,443.0
94,0.11930682833648058,444.0
95,0.11960556511052424,445.0
96,0.11987094888634908,446.0
97,0.12021714392618815,447.0
98,0.12059959842333863,448.0
99,0.12096633642541271,449.0
100,0.12131617344518442,450.0
101,0.1217562782287598,451.0
102,0.12228294296711097,452.0
103,0.12267620535543813,453.0
104,0.12278922509308852,454.0
105,0.12321207002627615,455.0
106,0.12362641329833426,456.0
107,0.12396204425152053,457.0
108,0.12438545814048499,458.0
109,0.1248259376871737,459.0
110,0.1252044597456403,460.0
111,0.1255322250604477,461.0
112,0.12599196605054297,462.0
113,0.12646016227808157,463.0
114,0.1269230552586246,464.0
115,0.12737184118768619,465.0
116,0.12765999314894536,466.0
117,0.12799475889737488,467.0
118,0.128437209555437,468.0
119,0.12891877948479097,469.0
120,0.1293904964542164,470.0
121,0.12975797052712537,471.0
122,0.13003748751874467,472.0
123,0.13044270037164976,473.0
124,0.130812889792523,474.0
125,0.13113644485176842,475.0
126,0.13144159029850178,476.0
127,0.1317165002251976,477.0
128,0.13203344442628268,478.0
129,0.13237617447385897,479.0
130,0.13267277313068485,480.0
131,0.13301262384625498,481.0
132,0.13339624607765999,482.0
133,0.13377941060063797,483.0
134,0.13405868397974158,484.0
135,0.13442005762591744,485.0
136,0.1347992127046416,486.0
137,0.13510499782981267,487.0
138,0.13546336493616873,488.0
139,0.1358827466705674,489.0
140,0.13633018054302987,490.0
141,0.13674642087437966,491.0
142,0.13714333696204023,492.0
143,0.1375409185765457,493.0
144,0.13793757526064512,494.0
145,0.13828511825744222,495.0
146,0.13865105011154524,496.0
147,0.1390748880621642,497.0
148,0.13955584841648713,498.0
149,0.1399737114199068,499.0
150,0.1403616074707409,500.0
151,0.1407673201795565,501.0
152,0.14123950996062057,502.0
153,0.141753979830799,503.0
154,0.14223654116423706,504.0
155,0.14266933425659195,505.0
156,0.14316003737854355,506.0
157,0.14360806273675028,507.0
158,0.14406281189883552,508.0
159,0.14459458988473822,509.0
160,0.14511940551084754,510.0
161,0.14559435993200132,511.0
162,0.14604115670635753,512.0
163,0.14653324171984108,513.0
164,0.14702802576740107,514.0
165,0.14756697703898902,515.0
166,0.14813448398029955,516.0
167,0.1485361704513413,517.0
168,0.14899703967666553,518.0
169,0.14951000141631515,519.0
170,0.14997961629100393,520.0
171,0.15038383207860329,521.0
172,0.15084951548702225,522.0
173,0.1513735482092294,523.0
174,0.15180874601510147,524.0
175,0.15226094128788129,525.0
176,0.15270050374876562,526.0
177,0.15311048743179084,527.0
178,0.1535863937585624,528.0
179,0.1540534522828327,529.0
180,0.15450518727277637,530.0
181,0.15496993239969037,531.0
182,0.15545444483827836,532.0
183,0.15589466572860392,533.0
184,0.15628464531730218,534.0
185,0.15670340869522414,535.0
