,Reflectance,Wavelength
0,0.02637819756309084,350.0
1,0.026441020956424026,351.0
2,0.026142186474382916,352.0
3,0.02598698866099769,353.0
4,0.025699275320633465,354.0
5,0.02538907029820421,355.0
6,0.025383773833826697,356.0
7,0.02610707600216332,357.0
8,0.025731896802177752,358.0
9,0.025038917731299626,359.0
10,0.024781417200490385,360.0
11,0.024773551719802493,361.0
12,0.024564907469004367,362.0
13,0.02435767378104427,363.0
14,0.024328906975115437,364.0
15,0.02405313453391098,365.0
16,0.02406440066156968,366.0
17,0.024109291137615046,367.0
18,0.023801699168943733,368.0
19,0.023694631164446166,369.0
20,0.02369654637051846,370.0
21,0.023607980017365682,371.0
22,0.02326396966347546,372.0
23,0.023182686106565244,373.0
24,0.023354661217408573,374.0
25,0.023548667150579513,375.0
26,0.023394841889695983,376.0
27,0.023385067976308,377.0
28,0.023368711879295696,378.0
29,0.023217562089813803,379.0
30,0.023087188889772306,380.0
31,0.023338435579214795,381.0
32,0.023604559445385257,382.0
33,0.023493734195634053,383.0
34,0.023433446714599244,384.0
35,0.023394127403664377,385.0
36,0.023414858805331708,386.0
37,0.02352055367896328,387.0
38,0.02343362744778727,388.0
39,0.023467209285542558,389.0
40,0.023610045641977582,390.0
41,0.023535354804829763,391.0
42,0.02360623051193158,392.0
43,0.023731768879706894,393.0
44,0.023752537096524654,394.0
45,0.02352736150060131,395.0
46,0.023411769481577735,396.0
47,0.023354937650411765,397.0
48,0.02327687776287235,398.0
49,0.023326689613441358,399.0
50,0.02331223337595522,400.0
51,0.02327695981527522,401.0
52,0.023311008956811746,402.0
53,0.023214537323654204,403.0
54,0.023130188408468436,404.0
55,0.0231171243266809,405.0
56,0.0231496434424966,406.0
57,0.02321209491577803,407.0
58,0.023319807321551995,408.0
59,0.02341716349023075,409.0
60,0.023325167483031935,410.0
61,0.023431292237563062,411.0
62,0.023552869146059842,412.0
63,0.023513026295870043,413.0
64,0.023634256151132436,414.0
65,0.02378143607617675,415.0
66,0.02392199562456765,416.0
67,0.02406501046225546,417.0
68,0.02414893394502442,418.0
69,0.024252044052139043,419.0
70,0.024385088783921118,420.0
71,0.024486805628658084,421.0
72,0.02463575993750426,422.0
73,0.024737486652651876,423.0
74,0.024795582277727195,424.0
75,0.02507332456625647,425.0
76,0.025234047718087987,426.0
77,0.02532549989958397,427.0
78,0.025466060605163394,428.0
79,0.02550205306046421,429.0
80,0.025633748205500535,430.0
81,0.02583045262804098,431.0
82,0.025927188069987797,432.0
83,0.026022455773770894,433.0
84,0.026034536266595257,434.0
85,0.026004891895783193,435.0
86,0.02614052445614838,436.0
87,0.026189429450789194,437.0
88,0.026245319970016823,438.0
89,0.026377908221157518,439.0
90,0.026373052584032133,440.0
91,0.026442978694703412,441.0
92,0.02656829795559993,442.0
93,0.02665062755048611,443.0
94,0.026798735959894484,444.0
95,0.026843411279050683,445.0
96,0.026827984523317732,446.0
97,0.026999174865979123,447.0
98,0.027074958030634713,448.0
99,0.027127519182687736,449.0
100,0.027227590582181257,450.0
101,0.027297055357220764,451.0
102,0.027358485727238712,452.0
103,0.027467985062494635,453.0
104,0.027643836981086144,454.0
105,0.027633803809005965,455.0
106,0.027692415572674055,456.0
107,0.02783581630712063,457.0
108,0.02785698886951162,458.0
109,0.027898091845148555,459.0
110,0.02796724702153005,460.0
111,0.028053327470617097,461.0
112,0.028158181997804194,462.0
113,0.028169190709158094,463.0
114,0.02818839390481638,464.0
115,0.028330505691470352,465.0
116,0.028393237371841958,466.0
117,0.02842866422722075,467.0
118,0.02848383298948232,468.0
119,0.028583784449249743,469.0
120,0.028631325538684863,470.0
121,0.028672045675325317,471.0
122,0.028740769746304684,472.0
123,0.028813165541706705,473.0
124,0.028852940951600754,474.0
125,0.028882284077056026,475.0
126,0.028936568561741118,476.0
127,0.029016676917209064,477.0
128,0.029066851811799306,478.0
129,0.029096334360499465,479.0
130,0.029159868199285545,480.0
131,0.02920421872540311,481.0
132,0.029273507283788233,482.0
133,0.029380593893985757,483.0
134,0.029451294004080454,484.0
135,0.029568343604664628,485.0
136,0.029668048391342575,486.0
137,0.029696680250861467,487.0
138,0.02987703740141453,488.0
139,0.030015384490726438,489.0
140,0.030094521639739753,490.0
141,0.03023255068548617,491.0
142,0.03030268053905041,492.0
143,0.03039424574550752,493.0
144,0.03056624077259134,494.0
145,0.030769289928900795,495.0
146,0.03092723084158879,496.0
147,0.031121026251846935,497.0
148,0.031429048895109966,498.0
149,0.031628699585561006,499.0
150,0.03192973000780776,500.0
151,0.03232403298669928,501.0
152,0.03261644825007774,502.0
153,0.03300698443627812,503.0
154,0.033384577713924314,504.0
155,0.03370411719733632,505.0
156,0.0341478678631185,506.0
157,0.034703839724555034,507.0
158,0.03528631395661905,508.0
159,0.035820389134252464,509.0
160,0.036477065179081884,510.0
161,0.037162323832137106,511.0
162,0.03786317358700553,512.0
163,0.03865522384405564,513.0
164,0.03958878185718056,514.0
165,0.04054226000992582,515.0
166,0.04149494714789599,516.0
167,0.04276345992222479,517.0
168,0.0440579692701178,518.0
169,0.04532416032549888,519.0
170,0.04662594650135384,520.0
171,0.04796324121426375,521.0
172,0.04936696149723612,522.0
173,0.05080230908181506,523.0
174,0.05218158857802115,524.0
175,0.053576209746970645,525.0
176,0.05504828249015908,526.0
177,0.05656158514899165,527.0
178,0.05788802578632437,528.0
179,0.05916031057033258,529.0
180,0.060370929122293374,530.0
181,0.06146859497647128,531.0
182,0.06256997286030934,532.0
183,0.06359494478877437,533.0
184,0.06448609032667814,534.0
